Antrenor;Toplam;Birinci;Ikinci;Ucuncu;Kazanma_Yuzde;Ilk3_Yuzde
T.ÇİZİK;856;73;80;68;8.53;25.82
Y.TUNCAY;831;57;69;75;6.86;24.19
M.SUSEN;827;58;73;79;7.01;25.39
A.ATAŞ;637;33;43;51;5.18;19.94
M.TEZEL;627;71;51;68;11.32;30.3
RAM. KAYA;623;38;59;48;6.1;23.27
M.DOLAK;622;83;91;81;13.34;41.0
Z.AKDEMİR;602;61;71;51;10.13;30.4
S.KARAKEÇİLİ;593;66;51;67;11.13;31.03
M.ÖZGÜL;535;32;39;41;5.98;20.93
MEH.ALTIN;525;51;45;48;9.71;27.43
At Sahibi;514;40;52;58;7.78;29.18
E.USLU;503;39;50;49;7.75;27.44
H.ATAKAYA;503;44;43;46;8.75;26.44
C.TURAN;502;52;61;46;10.36;31.67
C.KATI;499;53;69;77;10.62;39.88
K.ŞENGEL;492;39;37;54;7.93;26.42
A.YARDIMCI;422;45;55;52;10.66;36.02
S.C.GÖZÜNGÜ;422;36;38;49;8.53;29.15
M.E.SARIDAL;414;37;28;35;8.94;24.15
G.BALTA;395;34;27;46;8.61;27.09
S.ÇİFTÇİ;380;32;22;27;8.42;21.32
A.AKBABA;376;28;23;32;7.45;22.07
F.KIRAN;371;25;33;40;6.74;26.42
ADN.POLAT;367;32;29;40;8.72;27.52
H.ÇALI;365;32;36;30;8.77;26.85
HÜS.KARABULUT;337;30;25;24;8.9;23.44
T.DURAN;336;39;36;35;11.61;32.74
K.KORKMAZ;332;35;31;29;10.54;28.61
EY.YARDIMCI;331;31;44;45;9.37;36.25
İ.ATMACA;323;28;22;26;8.67;23.53
A.MANTAŞ;322;21;16;26;6.52;19.57
Ö.GÜNELİ;320;39;33;27;12.19;30.94
Y.DEMİRKIRAN;312;48;48;27;15.38;39.42
H.YÜZBAŞI;312;54;52;31;17.31;43.91
S.AKYAVUZ;302;42;38;37;13.91;38.74
İB.B.OĞULLARI;301;74;33;50;24.58;52.16
C.T.KÖSE;298;36;25;37;12.08;32.89
F.YALÇINKAYA;295;29;19;35;9.83;28.14
H.KURT;295;21;25;22;7.12;23.05
M.DEMİRTAŞ;294;17;22;26;5.78;22.11
S.SÜSLÜ;294;41;44;40;13.95;42.52
V.TEKİN;281;12;15;15;4.27;14.95
H.SUNKAR;280;28;36;36;10.0;35.71
FAH.CEYLAN;280;27;37;37;9.64;36.07
EKR.YARDIMCI;276;32;30;32;11.59;34.06
HÜS.TEKİNALP;272;33;33;35;12.13;37.13
İBR.DEMİR;271;31;16;29;11.44;28.04
Y.UÇAR;268;23;18;29;8.58;26.12
SEY.GÖKÇE;268;35;24;30;13.06;33.21
S.POLAT;260;28;22;26;10.77;29.23
R.TAŞDELEN;260;38;32;30;14.62;38.46
İ.H.BAYDAN;260;29;33;33;11.15;36.54
B.DEMİRKAPU;258;19;19;29;7.36;25.97
İ.KÖROĞLU;254;35;25;29;13.78;35.04
Ş.AYDEMİR;251;42;39;22;16.73;41.04
G.TAŞDELEN;244;16;16;20;6.56;21.31
B.GÜL;243;40;31;25;16.46;39.51
H.DURMUŞ;241;27;27;29;11.2;34.44
V.ÖNDER;241;17;20;18;7.05;22.82
MEHM.KAYA;234;23;17;21;9.83;26.07
T.ŞİT;233;16;26;18;6.87;25.75
O.BULUT;230;23;42;32;10.0;42.17
Ş.Ş.DEMİR;229;3;15;17;1.31;15.28
MEH.ASLAN;228;16;29;18;7.02;27.63
A.R.YILDIZ;225;20;18;34;8.89;32.0
B.TANRIKULU;224;18;26;22;8.04;29.46
İ.ÇEÇAN;220;18;26;25;8.18;31.36
MİR.İPEK;219;26;17;17;11.87;27.4
