At_Ismi;Toplam;Birinci;Ikinci;Ucuncu;Kazanma_Yuzde;Ilk3_Yuzde
MARQUIS LAFAYETTE DB;2;1;0;0;50.0;50.0
DEDEMHAMZAREİS KG DB;1;1;0;0;100.0;100.0
BAY AHMET KG SK;1;0;1;0;0.0;100.0
KERVAN SANCAĞI SK;1;0;0;1;0.0;100.0
ENESBERKE KG K;1;0;0;0;0.0;0.0
HEVSELİM KG K;1;0;0;0;0.0;0.0
KAHRAMAN KG SK;1;0;0;0;0.0;0.0
TOYGARLI KG SK (Koşmaz);1;0;0;0;0.0;0.0
ŞIKTURBO KG DB SK;1;1;0;0;100.0;100.0
AZİMLİ KG;1;0;1;0;0.0;100.0
ÇAĞLAYAN DENİZ KG DB SK;1;0;0;1;0.0;100.0
EYYAMI BAHUR KG;1;0;0;0;0.0;0.0
AKSÖZ SK;1;0;0;0;0.0;0.0
LAZFATİH KG SK;1;0;0;0;0.0;0.0
BABADENİZ KG K DB;1;0;0;0;0.0;0.0
SİDAR BEY KG K DB;1;0;0;0;0.0;0.0
TRAKUS KG K;1;0;0;0;0.0;0.0
DİNAMİT KG K DB;1;0;0;0;0.0;0.0
AZER IN MY HEART KG DB SK;1;1;0;0;100.0;100.0
ÇAĞLAR TAY KG DB;1;0;1;0;0.0;100.0
NECMİ BABA KG DB SK;1;0;0;1;0.0;100.0
IRMAK SU KG DB SK GKR;1;0;0;0;0.0;0.0
ORÇUNTAY SK;1;0;0;0;0.0;0.0
BÜYÜK YÜREKLİ KG;1;0;0;0;0.0;0.0
FIRTINA BEY DB;1;0;0;0;0.0;0.0
KADER GÜCÜ KG DB SK;1;0;0;0;0.0;0.0
İSKİT ALP KG K;1;0;0;0;0.0;0.0
ŞİRİNMİŞİRİN;1;0;0;0;0.0;0.0
ERDİ BEY;1;0;0;0;0.0;0.0
ERKURT KG K DB;1;0;0;0;0.0;0.0
KAYIP İNCİ DB SKG SK;1;0;0;0;0.0;0.0
MUCİT TAY SK;1;0;0;0;0.0;0.0
KAYALARIN ŞAHI KG DB SK;1;0;0;0;0.0;0.0
KEŞHANLI KG SK;1;1;0;0;100.0;100.0
ÖMER EYÜP KG DB SK;1;0;1;0;0.0;100.0
KASIRGA BEY KG DB SK;1;0;0;1;0.0;100.0
RİBARO SK;1;0;0;0;0.0;0.0
İLBARS KG SK GKR;1;0;0;0;0.0;0.0
ÇELİK PARÇASI KG K DB;1;0;0;0;0.0;0.0
ÇETİNYEL KG SK;1;0;0;0;0.0;0.0
DİLMAKIZ SK;1;0;0;0;0.0;0.0
SARITAHA KG;1;0;0;0;0.0;0.0
BEYPARS KG DB SK;1;0;0;0;0.0;0.0
YETİMABLA KG DB SK;1;0;0;0;0.0;0.0
ULUBOYLU KG K;1;0;0;0;0.0;0.0
ŞEKER ADAM;1;0;0;0;0.0;0.0
GÖNÜLGÜMBÜR KG SK;1;0;0;0;0.0;0.0
ŞENBEYİM K DB;1;0;0;0;0.0;0.0
SADIKEFE KG SK;1;0;0;0;0.0;0.0
GIRALAMO KG SK;1;1;0;0;100.0;100.0
ASPENDİP KG K DB;1;0;1;0;0.0;100.0
KALİ STRATA SK;1;0;0;1;0.0;100.0
ŞEKER ASLAN K DB;1;0;0;0;0.0;0.0
GANİİY K DB;1;0;0;0;0.0;0.0
WINNING DRAGON KG SK;1;0;0;0;0.0;0.0
MANIFEST K;1;0;0;0;0.0;0.0
EL REY ESCORPİON SK;1;0;0;0;0.0;0.0
DOKUZ MART K;1;0;0;0;0.0;0.0
INEVITABLE DB SK;1;1;0;0;100.0;100.0
MOUNTAIN DB SKG SK;1;0;1;0;0.0;100.0
PATRICK STAR KG K DB;1;0;0;1;0.0;100.0
MANGUSTA DB SK;1;0;0;0;0.0;0.0
CAZATOR DE OSOS SK;1;0;0;0;0.0;0.0
ALTINSİMA KG DB SK;1;0;0;0;0.0;0.0
ALBAYRAK DB SKG SK;1;0;0;0;0.0;0.0
NART ATEŞİ K DB SK;1;0;0;0;0.0;0.0
ZAGROS RÜZGARI K DB (Koşmaz);1;0;0;0;0.0;0.0
MR NALÇAKAN DB SKG SK;1;0;1;0;0.0;100.0
ATOMIC CAT KG K DB;1;0;0;1;0.0;100.0
STEEL HAWK KG DB SK;1;0;0;0;0.0;0.0
HAWORTH KG K;1;0;0;0;0.0;0.0
EL LORD SKG SK ÖG;1;0;0;0;0.0;0.0
LUKA MAGIC KG DB SK;1;0;0;0;0.0;0.0
MİHRE EVA KG DB SK (Koşmaz);1;0;0;0;0.0;0.0
ANKARA GÜZELİ KG K;1;1;0;0;100.0;100.0
GÜNEŞMİLA KG K;1;0;1;0;0.0;100.0
ŞEKER İNCİ KG DB SK;1;0;0;1;0.0;100.0
ÇİRKİN VE GÜZEL KG SK;1;0;0;0;0.0;0.0
SEVGİNUR KG K;1;0;0;0;0.0;0.0
AKGÜL HANIM KG SK;1;0;0;0;0.0;0.0
ARKAZGÜLÜ KG SK;1;0;0;0;0.0;0.0
ATEŞ KUŞLARI KG SK;1;0;0;0;0.0;0.0
KIZILKULE KG;1;0;0;0;0.0;0.0
ÇENGER KG DB SK;1;0;0;0;0.0;0.0
GÜLGÜLAY KG K;1;0;0;0;0.0;0.0
OKAYGÜN KG;1;0;0;0;0.0;0.0
