Jokey;Toplam;Birinci;Ikinci;Ucuncu;Kazanma_Yuzde;Ilk3_Yuzde
A.YILDIZ;1565;207;225;195;13.23;40.06
M.M.BİLGİN;1414;256;226;185;18.1;47.17
MÜS.ÇELİK;1254;168;170;155;13.4;39.31
N.AVCİ;1211;221;201;176;18.25;49.38
E.ÇANKAYA;1153;173;144;158;15.0;41.2
M.KAYA;1143;182;183;160;15.92;45.93
A.KURŞUN;1140;207;152;146;18.16;44.3
M.KEÇECİ AP;1086;112;108;103;10.31;29.74
H.ÇİZİK;1072;150;147;142;13.99;40.95
M.S.ÇELİK;1062;172;156;147;16.2;44.73
B.M.MIRIK;1015;100;128;123;9.85;34.58
F.YARDIMCI;1011;203;177;122;20.08;49.65
A.ÇELİK;1010;178;166;148;17.62;48.71
A.SÖZEN;986;143;120;126;14.5;39.45
E.AKTUĞ;973;83;79;88;8.53;25.69
M.ÇİÇEK;963;167;138;117;17.34;43.82
İ.AKYAVUZ;945;198;157;133;20.95;51.64
N.ALTIN;930;105;116;106;11.29;35.16
G.ÖZÇELİK;930;59;97;92;6.34;26.67
M.AKYAVUZ;825;91;97;108;11.03;35.88
E.ÇİZİK;773;107;80;98;13.84;36.87
O.ATMACA;768;48;53;86;6.25;24.35
İ.KATAR;765;60;50;74;7.84;24.05
G.KOCAKAYA;734;166;115;104;22.62;52.45
Y.CENGİZ;733;41;57;57;5.59;21.15
A.AKDEMİR;720;62;71;72;8.61;28.47
N.DEMİR;708;47;66;68;6.64;25.56
Ö.YILDIRIM;682;117;127;97;17.16;50.0
Y.GÖKÇE AP;666;49;50;51;7.36;22.52
V.ABİŞ;664;148;108;94;22.29;52.71
Ö.F.ÖZEN AP;638;81;79;73;12.7;36.52
R.KETME AP;627;40;34;54;6.38;20.41
A.İNCİ;611;38;53;72;6.22;26.68
A.MEH.ALTIN AP;610;65;76;56;10.66;32.3
SAL.ÇELİK;601;58;51;48;9.65;26.12
M.A.AKGÖBEK AP;601;42;38;56;6.99;22.63
H.ALTUNDAĞ;600;44;40;67;7.33;25.17
O.YILDIZ;551;87;70;60;15.79;39.38
K.TOKAÇOĞLU;510;68;59;62;13.33;37.06
ER.CANKILIÇ AP;499;64;60;69;12.83;38.68
F.S.M.SANSAR AP;494;55;64;44;11.13;33.0
A.KAÇMAZ;493;43;46;52;8.72;28.6
M.DOĞAN;452;31;29;42;6.86;22.57
M.ŞAKİR AP;417;20;24;24;4.8;16.31
M.G.ARSLAN;414;23;26;22;5.56;17.15
A.KÜRÜNDÜK;414;12;27;30;2.9;16.67
M.A.SOLMAZ;409;37;44;39;9.05;29.34
VEDAT ABİŞ;404;73;66;58;18.07;48.76
E.BOZDAĞ AP;396;39;30;28;9.85;24.49
S.KAPLAN;392;20;17;28;5.1;16.58
A.ASLAN;391;25;22;46;6.39;23.79
E.ATLAMAZ AP;386;14;23;25;3.63;16.06
T.YILDIZ;379;21;39;23;5.54;21.9
A.H.BAYAR AP;378;41;38;40;10.85;31.48
M.KESKİN;369;11;24;25;2.98;16.26
A.H.BAYAR;337;22;37;33;6.53;27.3
H.ALTUNKILIÇ;336;27;34;33;8.04;27.98
M.ALİ AKGÖBEK AP;335;31;26;35;9.25;27.46
F.ÇETİNBAŞ;330;22;27;29;6.67;23.64
H.KARATAŞ;327;70;53;42;21.41;50.46
M.E.DOĞAN;326;19;37;41;5.83;29.75
M.BAYIR;325;31;44;30;9.54;32.31
İ.S.SÖĞÜT;318;7;14;30;2.2;16.04
M.A.AKTÜRK;316;25;42;32;7.91;31.33
HA.GÖKÇE AP;316;9;8;24;2.85;12.97
SALİH ÇELİK AP;315;38;44;26;12.06;34.29
B.AKÇAY;314;21;24;27;6.69;22.93
B.SARIDAL AP;305;8;11;17;2.62;11.8
M.IŞIK AP;302;16;14;26;5.3;18.54
M.N.SUNKAR;301;21;22;30;6.98;24.25
H.ŞİMŞEK;297;18;17;24;6.06;19.87
MAHS.TURAN;296;36;24;24;12.16;28.38
S.AKŞIN AP;296;6;20;26;2.03;17.57
E.KADİRLER AP;287;24;23;25;8.36;25.09
MAH.TURAN;284;20;32;35;7.04;30.63
A.MEHDİ ALTIN AP;279;32;45;32;11.47;39.07
V.DEMİR;276;12;14;32;4.35;21.01
C.PASO;271;15;14;16;5.54;16.61
S.KAYA;270;61;54;38;22.59;56.67
GÖKH.GÖKÇE;268;39;25;38;14.55;38.06
İ.GÜREKE AP;267;10;13;14;3.75;13.86
F.S.M.SANSAR;263;16;25;19;6.08;22.81
B.BEKTAŞ;259;9;18;27;3.47;20.85
B.BÜLBÜL AP;255;20;29;15;7.84;25.1
BERK.GÖKÇE AP;255;17;16;20;6.67;20.78
T.ALICI;253;14;17;27;5.53;22.92
N.ŞEN;249;17;27;18;6.83;24.9
U.TEMUR;245;18;14;18;7.35;20.41
O.GÖKÇE;242;25;18;17;10.33;24.79
SERH.ÇELİK AP;234;16;13;15;6.84;18.8
İSM.YILDIRIM AP;234;10;36;21;4.27;28.63
M.KIYAK AP;232;18;12;21;7.76;21.98
E.AKPINAR AP;224;13;20;18;5.8;22.77
Z.KARABULUT AP;220;14;15;14;6.36;19.55
M.T.COŞKUN AP;219;10;9;10;4.57;13.24
HAK.YILDIZ;218;8;14;14;3.67;16.51
E.SİNCAN;212;6;10;14;2.83;14.15
Y.ÇELİKBAŞ AP;208;13;19;14;6.25;22.12
GÖK.BEKTAŞ;205;6;14;11;2.93;15.12
O.ÖZTÜRK;204;19;12;21;9.31;25.49
M.B.ÇAKMAK AP;201;16;15;19;7.96;24.88
İ.S.SÖĞÜT AP;201;8;13;17;3.98;18.91
S.TIRPAN;200;5;8;16;2.5;14.5
C.ALTUN;198;6;10;11;3.03;13.64
F.R.BEBEK;196;5;14;17;2.55;18.37
E.BOZDAĞ;192;13;14;16;6.77;22.4
F.KARAKURT AP;190;9;3;12;4.74;12.63
C.ALTUN AP;188;16;25;27;8.51;36.17
Y.ÇELİKBAŞ;187;8;15;7;4.28;16.04
F.FELHAN AP;185;5;2;6;2.7;7.03
Ç.TAŞCI AP;184;6;12;4;3.26;11.96
Y.Ş.GÜMÜŞ AP;182;6;11;7;3.3;13.19
K.YILMAZ AP;179;7;9;16;3.91;17.88
S.ALTAY AP;178;6;8;15;3.37;16.29
F.YÜCEL AP;165;2;5;9;1.21;9.7
S.ÖZEN;159;4;12;14;2.52;18.87
E.YAVUZ;159;17;9;20;10.69;28.93
M.UYAR AP;158;8;7;7;5.06;13.92
H.KATI;158;3;7;12;1.9;13.92
M.GÖL AP;157;5;5;6;3.18;10.19
E.D.ÖKTEN AP;151;3;5;10;1.99;11.92
Ç.CANPOLAT AP;149;4;4;4;2.68;8.05
A.E.ELMAS AP;139;6;8;9;4.32;16.55
Y.E.YÜKSEL AP;138;4;6;8;2.9;13.04
MEH.TAŞKAYA;136;30;18;12;22.06;44.12
L.TAPTIK AP;135;13;7;10;9.63;22.22
SAL.ÇELİK AP;133;24;18;18;18.05;45.11
B.ÇIĞLA AP;132;0;5;2;0.0;5.3
İ.SOYAD;127;9;13;9;7.09;24.41
Ç.OK;124;6;4;7;4.84;13.71
H.TURAN AP;123;2;5;5;1.63;9.76
A.ÇANKAYA AP;123;4;10;7;3.25;17.07
F.ARSLAN;121;5;8;14;4.13;22.31
O.EREN;120;5;10;8;4.17;19.17
M.TEKPETEK AP;120;1;7;2;0.83;8.33
E.AKKILIÇ;116;8;4;14;6.9;22.41
E.KORKMAZ AP;114;1;3;3;0.88;6.14
E.TUNÇ;113;1;2;10;0.88;11.5
H.YOLAÇICI AP;108;2;2;7;1.85;10.19
E.AKKILIÇ AP;108;11;6;7;10.19;22.22
U.LEVENT AP;107;4;3;5;3.74;11.21
M.IŞIK;105;8;8;8;7.62;22.86
H.SARIDAL;105;3;5;7;2.86;14.29
M.BAĞ AP;104;6;6;7;5.77;18.27
M.AKDAĞ AP;104;0;1;3;0.0;3.85
H.YÖNDEN AP;103;2;4;2;1.94;7.77
T.BALİ AP;102;1;1;2;0.98;3.92
M.ÇELİK AP;101;1;6;4;0.99;10.89
C.TEPE;98;2;6;5;2.04;13.27
M.ÜNLÜ;96;11;8;8;11.46;28.12
Ö.FARUK ÖZEN AP;95;9;11;11;9.47;32.63
İ.AKIN AP;94;4;1;6;4.26;11.7
B.KILINÇ;93;11;10;7;11.83;30.11
F.ÇETİN AP;93;6;0;2;6.45;8.6
S.AKBULAT AP;87;3;2;6;3.45;12.64
A.CEYLAN AP;87;2;4;4;2.3;11.49
M.MANAV AP;86;0;4;6;0.0;11.63
SER.YILDIZ AP;86;2;8;5;2.33;17.44
ALP.OLUK AP;84;2;5;5;2.38;14.29
M.F.KAYA AP;82;1;3;9;1.22;15.85
O.KIZILDAŞ AP;81;2;4;7;2.47;16.05
K.GÖKÇE AP;81;3;7;7;3.7;20.99
İ.KATI;78;3;7;8;3.85;23.08
A.METİN AP;78;1;2;1;1.28;5.13
M.KAYİŞ AP;72;7;2;4;9.72;18.06
F.AVCI;68;1;0;3;1.47;5.88
R.KETME;68;7;8;12;10.29;39.71
B.ÇETİN AP;64;1;4;4;1.56;14.06
M.KEÇECİ;63;13;6;15;20.63;53.97
EFE KORKMAZ AP;61;2;4;0;3.28;9.84
K.DEMİREL AP;59;1;8;5;1.69;23.73
G.YILDIZ;59;0;1;3;0.0;6.78
M.T.MURTOĞLU AP;55;2;0;2;3.64;7.27
Y.GÖKÇE;55;8;12;5;14.55;45.45
M.B.ÖNCEL AP;53;0;1;1;0.0;3.77
S.GÜLENYÜZLER AP;53;2;0;4;3.77;11.32
E.AKKAYA AP;52;0;0;1;0.0;1.92
MUH.OK AP;51;2;0;4;3.92;11.76
D.KONUK AP;50;0;0;1;0.0;2.0
E.ATLAMAZ;50;7;10;11;14.0;56.0
M.M.KARABULUT AP;48;0;2;3;0.0;10.42
E.ÜSTÜN AP;44;1;2;2;2.27;11.36
İ.GÖÇER;43;1;1;4;2.33;13.95
M.KIYAK;43;6;7;3;13.95;37.21
S.İPEK;43;3;4;3;6.98;23.26
E.AKPINAR;42;6;3;0;14.29;21.43
K.YILMAZ;42;5;9;4;11.9;42.86
HA.GÖKÇE;42;2;4;4;4.76;23.81
H.PARILDAR;42;1;3;1;2.38;11.9
S.BOYRAZ;39;0;2;1;0.0;7.69
T.BALİ;38;3;2;6;7.89;28.95
H.Y.ÜNVER AP;37;2;1;3;5.41;16.22
D.BUDAK AP;37;0;0;0;0.0;0.0
E.TEPE AP;37;1;0;2;2.7;8.11
M.P.DEMİR AP;35;1;2;4;2.86;20.0
Ö.F.ÖZEN;35;5;7;3;14.29;42.86
R.B.DÜNDAR AP;35;0;0;0;0.0;0.0
İ.GÜREKE;35;6;3;6;17.14;42.86
ER.CANKILIÇ;35;11;11;3;31.43;71.43
