Hipodrom;Kosu_No;Saat;Mesafe;Pist;Cins;Sira;At_Ismi;Yas_Cinsiyet;Orijin;Kilo;Jokey;Sahip;Antrenor;Start_No;HP;Son_6_Yaris;KGS;S20;Ganyan;AGF;Tarih
İstanbul;1;14:00;2200;;;1;BABA RACİ;5y d  a;RUN AWAY AND HIDE (USA)-GÜZELANNEM/LION HEART (USA);58,5;SAL.ÇELİK;MUSTAFA ATLI;S.GÜRKAN;8;80;45-3005;18;15;;;06/05/2026
İstanbul;1;14:00;2200;;;2;COOL STAR;6y d  a;TOROK (IRE)-TAWAFEEG (USA)/BERNARDINI (USA);58,5;G.ÖZÇELİK;MERT BAYIR;T.ŞİT;9DSTercihli Start;88;457-676;15;13;;;06/05/2026
İstanbul;1;14:00;2200;;;3;KOCA SEYİD;9y d  a;SMART ROBIN (JPN)-RED BIRD/FANTASTIC FELLOW (USA);58,5;A.SÖZEN;MEHMET ÇAVUŞ;HAY.YILDIRIM;2;101;469-552;14;20;;;06/05/2026
İstanbul;1;14:00;2200;;;4;SUPERSONIC;5y a  a;SİNCLAR-SPEEDY FOX/DİNYEPER (GB);58,5;C.TEPE;ADNAN BALKAYA;HÜS.KARABULUT;1;69;12-56-70;22;15;;;06/05/2026
İstanbul;1;14:00;2200;;;5;STASERA;5y d k;CATAPULT (USA)-SUBIRA (GER)/HIGH CHAPARRAL (IRE);57,5;İ.SOYAD;ORHAN KİBAR;S.ÇİFTÇİ;6;79;604232;8;18;;;06/05/2026
İstanbul;1;14:00;2200;;;6;EL VERDUGO;4y d  a;MENDIP (USA)-GOOD MEMORY/BOSPORUS (IRE);57;M.S.ÇELİK;SEMİH KATI;M.DOLAK;4;66;245749;57;15;;;06/05/2026
İstanbul;1;14:00;2200;;;7;MOSKITO;4y d  a;VICTOIRE PISA (JPN)-GRAND EXPECTATIONS/GRAND EKINOKS;57;T.YILDIZ;VOLKAN R. EKİNCİ;A.KÜÇÜKAKSOY;7;40;85369-8;21;14;;;06/05/2026
İstanbul;1;14:00;2200;;;8;RİYAD;4y d  a;AUTHORIZED (IRE)-FINE GOLD/LION HEART (USA);57;A.ASLAN;FAHRİ BAYER;G.SUBAŞI;3;44;350731;161;20;;;06/05/2026
İstanbul;1;14:00;2200;;;9;SEFAKÖYLÜ;4y d  a;MY DEAR SON-PEARL GEM/INSPECTOR;57;A.YILDIZ;SONER SÖKMEN;C.TURAN;10DSTercihli Start;68;245-034;14;16;;;06/05/2026
İstanbul;1;14:00;2200;;;10;JIMDEMA;4y d k;MENDIP (USA)-LADY CHARA/ROYAL ABJAR (USA);55;A.KURŞUN;DEMİRHAN YILMAZ;S.BEKTAŞ;5;77;8-82773;32;13;;;06/05/2026
İstanbul;2;14:30;1400;;;1;SHEER FORCE;4y d  a;PAPA CLEM (USA)-YOSUN SULTAN/OUT OF CONTROL;60;M.KAYA;SELİM KAYA;V.KARAKUŞ;1;66;924363;7;16;;;06/05/2026
İstanbul;2;14:30;1400;;;2;İSEN BUGA;6y a  a;YAVUZKAYA-INGLEWOOD/RAKAN (USA);58,5;A.KURŞUN;LEVENT SARIKAYA;HÜS.KARABULUT;5;89;312222;6;19;;;06/05/2026
İstanbul;2;14:30;1400;;;3;KANDO;5y a  a;THREE VALLEYS (USA)-ONE STAR/DEHERE (USA);57,5;E.AKTUĞ;İLYAS İLBEY;U.BİLİK;2;81;0-47329;21;12;;;06/05/2026
İstanbul;2;14:30;1400;;;4;NOX ATRA;5y d  a;DAREDEVIL (USA)-KATSUYA/KANEKO;56,5;G.ÖZÇELİK;COŞKUN GÖZLER;MAH.BAYKARA;3;65;901255;15;17;;;06/05/2026
İstanbul;2;14:30;1400;;;5;BAHRAIN;5y d  a;FAST 'N' FAMOUS (AUS)-GENIUS GIRL/VICTORY GALLOP (CAN);55,5;A.YILDIZ;MURAT ÖZENÇ;H.ALTUNBAŞ;9;99;21-6651;10;20;;;06/05/2026
İstanbul;2;14:30;1400;;;6;SİAN;4y a  a;VICTOIRE PISA (JPN)-TEXAS TEA/COMMON GROUNDS (GB);55;M.AKYAVUZ;GÜLİZAR YANIK;M.DOLAK;7;65;886757;14;9;;;06/05/2026
İstanbul;2;14:30;1400;;;7;WINNER GETS IT ALL;8y a  a;WIN RIVER WIN (USA)-LOVELY DOYOUN/DOYOUN (IRE);54,5;A.SÖZEN;YILDIRIM GELGİN;A.KÜÇÜKAKSOY;8;90;634345;10;17;;;06/05/2026
İstanbul;2;14:30;1400;;;8;ZORRO;7y d  a;TOROK (IRE)-BARBIE BABY/SRI PEKAN (USA);54,5;T.YILDIZ;CÜNEYT YILDIZHAN;Y.DEMİRKIRAN;10;94;0258-76;19;14;;;06/05/2026
İstanbul;2;14:30;1400;;;9;KUBAT KASIRGASI;3y a  e;CAPTAIN RIO (GB)-SPARTAN BEAUTY/BOSPORUS (IRE);53;M.S.ÇELİK;EYYÜP AYDINLIKTA;S.GÜNAYDIN;6;71;158551;7;20;;;06/05/2026
İstanbul;2;14:30;1400;;;10;FILIUS VENTUS;5y d  a;TOROK (IRE)-SERENARA/VELOCIRAPTOR (GB);52,5;R.YILDIZ;MEHMET MURAT UĞURLU;GÖK.GÖKÇE;4;45;504966;7;7;;;06/05/2026
İstanbul;3;15:00;1000;;;1;SEHER ZAMANI;3y a  e;FİRİKYA-NURİŞ/JOKER;57;M.KAYA;SELİM KAYA;V.KARAKUŞ;5;50;1;21;20;;;06/05/2026
İstanbul;3;15:00;1000;;;2;ARABİAN;3y a  d;GÜMBÜRGÜMBÜR-NESLİNAZ/BERKSOY;55;H.KARATAŞ;EMRE YAVUZ;S.BECENE;4;44;1;12;20;;;06/05/2026
İstanbul;3;15:00;1000;;;3;KİBAR KIZIM;3y k  d;AFRİKAANDER-ÇÖLDESU/ODİNHAN;55;H.ÇİZİK;MEHMET NUR BECENE;S.BECENE;2;45;1;12;20;;;06/05/2026
